  No.   Prog.    Tq[Nm]   Ang.[°]    D[mm]    PT[Nm]  Time[s]   OK/NOK     Cycle #
  462       7     12.27        36    45.53      3.51     2.91       OK     1947507
  463       6     12.94        36    43.75      4.17     2.90       OK     1947506
  464       5     11.38        37   155.13      3.12     4.01       OK     1947505
  465       4     11.96        38   155.33      3.17     3.75       OK     1947504
  466       3     11.80        40   157.29      3.37     3.56       OK     1947503
  467       2     11.80        42   154.89      2.91     3.77       OK     1947502
  468      11     11.81        46    35.38      3.83     4.27       OK     1947501
  469       1     12.10        32   157.29      3.18     3.52       OK     1947500
  470      10     12.38        46    41.34      3.28     3.02       OK     1947499
  471       8     12.45        39    43.97      3.23     2.94       OK     1947498
  472       7     12.99        34    45.25      3.17     2.93       OK     1947497
  473       6     12.67        39    43.46      3.23     2.97       OK     1947496
  474       5     11.42        35   155.01      3.34     3.97       OK     1947495
  475       4     11.92        36   155.22      2.78     3.75       OK     1947494
  476       3     12.37        36   157.28      2.88     3.53       OK     1947493
  477       2     11.91        35   155.01      2.59     3.60       OK     1947492
  478      11     11.73        52    35.37      3.82     4.25       OK     1947491
  479       1     12.02        27   157.32      3.28     3.53       OK     1947490
  480      10     12.32        41    41.53      3.75     2.96       OK     1947489
  481       8     12.18        47    44.01      3.39     2.98       OK     1947488
  482       7     13.05        47    45.43      3.78     2.87       OK     1947487
  483       6     13.63        39    43.59      4.13     3.04       OK     1947486
  484       5     11.32        37   154.93      2.93     4.00       OK     1947485
  485       4     11.34        50   155.33      2.82     3.80       OK     1947484
  486       3     11.91        36   157.27      3.05     3.62       OK     1947483
  487       2     11.55        46   155.03      2.52     3.60       OK     1947482
  488       1     11.73        40   157.34      3.02     3.53       OK     1947481
  489      11     11.59        46    35.54      3.51     4.32       OK     1947480
  490      10     12.50        37    41.65      3.33     2.98       OK     1947479
  491       8     12.66        39    44.34      3.36     2.92       OK     1947478
  492       7     12.51        39    45.64      3.29     2.92       OK     1947477
  493       6     13.23        36    43.85      3.41     3.06       OK     1947476
  494       5     11.40        33   155.20      2.83     4.09       OK     1947475
  495       4     11.95        40   155.53      2.63     3.79       OK     1947474
  496       3     11.95        34   157.27      3.05     3.55       OK     1947473
  497       2     11.81        42   155.13      2.95     3.73       OK     1947472
  498       1     11.99        33   157.28      2.77     3.51       OK     1947471
  499      11     11.65        48    35.32      4.26     4.29       OK     1947470
  500      10     12.38        37    41.24      3.47     3.02       OK     1947469
  501       8     12.82        33    43.90      3.11     3.01       OK     1947468
  502       7     12.71        33    45.37      3.62     2.91       OK     1947467
  503       6     12.67        44    43.41      4.04     2.95       OK     1947466
  504       5     11.35        39   154.84      3.36     3.81       OK     1947465
  505       4     11.72        38   155.06      3.02     3.86       OK     1947464
  506       3     11.72        42   157.26      3.23     3.53       OK     1947463
  507       2     11.69        38   155.00      2.89     3.61       OK     1947462
  508       1     11.83        44   157.28      3.38     3.52       OK     1947461
  509      11     11.53        48    35.33      4.01     4.31       OK     1947460
  510      10     12.24        37    41.63      3.27     2.97       OK     1947459
  511       8     12.37        39    44.29      3.66     2.93       OK     1947458
  512       7     12.60        44    45.82      3.79     2.88       OK     1947457
  513       6     12.73        39    43.96      3.73     2.94       OK     1947456
  514       5     11.66        36   155.09      3.13     4.08       OK     1947455
  515       4     12.71        38   155.33      2.88     3.71       OK     1947454
  516       3     11.81        38   157.26      3.26     3.65       OK     1947453
  517       2     11.87        35   155.09      2.37     3.72       OK     1947452
  518      11     11.86        46    35.38      3.71     4.25       OK     1947451
  519       1     11.82        38   157.27      3.20     3.51       OK     1947450
  520      10     12.35        44    41.36      3.70     2.92       OK     1947449
  521       8     12.47        42    44.09      2.63     2.94       OK     1947448
  522       7     13.01        36    45.30      3.35     2.96       OK     1947447
  523       6     12.58        39    43.42      3.85     2.94       OK     1947446
  524       5     11.49        36   154.81      3.26     3.93       OK     1947445
  525       4     12.02        34   155.02      3.21     3.68       OK     1947444
  526       3     11.63        38   157.26      3.28     3.55       OK     1947443
  527       2     11.75        36   154.95      3.10     3.62       OK     1947442
  528      11     11.74        45    35.35      3.72     4.21       OK     1947441
  529       1     11.73        36   157.33      2.92     3.47       OK     1947440
  530      10     12.10        34    41.55      2.94     2.97       OK     1947439
  531       8     12.32        39    44.46      3.38     2.93       OK     1947438
  532       7     12.95        31    45.60      3.53     2.87       OK     1947437
  533       6     12.72        39    43.92      3.18     2.90       OK     1947436
  534       5     11.34        41   155.20      3.15     4.01       OK     1947435
  535       4     11.81        46   155.44      2.67     3.76       OK     1947434
  536       3     11.95        40   157.26      3.08     3.54       OK     1947433
  537       2     11.58        51   154.92      2.70     3.74       OK     1947432
  538      11     11.40        39    35.19      3.91     4.27       OK     1947431
  539       1     11.90        38   157.29      3.46     3.48       OK     1947430
  540      10     12.41        37    41.51      3.42     2.91       OK     1947429
  541       8     12.37        39    44.07      3.01     2.93       OK     1947428
  542       7     12.82        31    45.51      3.94     2.91       OK     1947427
  543       6     12.67        39    43.67      3.46     3.16       OK     1947426
  544       5     11.62        37   155.01      2.94     3.93       OK     1947425
  545       4     12.13        36   155.19      2.58     3.81       OK     1947424
  546       3     11.80        31   157.29      3.09     3.64       OK     1947423
  547      11     11.55        45    35.24      3.65     4.29       OK     1947422
  548       2     12.09        37   154.93      3.28     3.59       OK     1947421
  549       1     11.66        38   157.29      3.75     3.52       OK     1947420
  550      10     12.39        37    41.63      3.31     2.94       OK     1947419
  551       8     12.80        36    44.34      3.61     3.00       OK     1947418
  552       7     12.69        34    45.51      3.97     2.87       OK     1947417
  553       6     12.69        39    43.90      3.52     2.95       OK     1947416
  554       5     11.57        43   155.19      3.28     3.96       OK     1947415
  555       4     11.70        42   155.53      2.50     3.78       OK     1947414
  556       3     11.89        40   157.27      2.94     3.54       OK     1947413
  557       2     11.63        48   154.93      3.14     3.71       OK     1947412
  558       1     11.61        38   157.28      3.14     3.53       OK     1947411
  559       1      0.05     10527   157.21      0.04     6.07      T+2     1947410
  560       1      0.05     10527   157.21      0.04     6.07      T+2     1947410
  561      10     12.64        34    41.09      3.86     2.94       OK     1947409
  562       8     12.37        34    43.96      3.23     2.94       OK     1947408
  563       7     12.50        39    45.39      2.96     2.90       OK     1947407
  564       6     12.75        33    43.54      3.26     2.95       OK     1947406
  565       4      0.17     21056   107.84      0.17     6.02      T+1     1947405
  566       4      0.86     21054   138.47      0.86     6.02      T+1     1947404
  567       3     12.05        40   157.28      3.24     3.54       OK     1947403
  568       2     11.72        38   155.00      2.70     3.61       OK     1947402
  569       1     11.90        38   157.27      3.95     3.49       OK     1947401
  570      11     11.80        41    35.07      4.07     4.28       OK     1947400
  571      10     12.73        39    41.65      3.44     2.96       OK     1947399
  572       8     12.71        36    44.25      3.29     2.96       OK     1947398
  573       7     13.15        34    45.54      3.96     2.89       OK     1947397
  574       6     12.71        36    43.79      3.11     2.91       OK     1947396
  575       5     11.42        35   155.28      3.18     4.01       OK     1947395
  576       4     11.71        44   155.53      2.47     3.85       OK     1947394
  577       3     11.84        33   157.27      2.38     3.57       OK     1947393
  578       2     11.78        44   154.95      2.92     3.69       OK     1947392
  579      11     11.48        50    35.27      4.21     4.25       OK     1947391
  580       1     11.50        50   157.28      3.43     3.55       OK     1947390
  581      10     12.36        34    41.38      3.33     2.96       OK     1947389
  582       8     12.52        34    44.08      3.62     2.94       OK     1947388
  583       7     13.65        33    45.38      3.20     2.87       OK     1947387
  584       6     12.96        39    43.42      3.99     3.14       OK     1947386
  585       5     11.46        34   154.71      2.93     3.95       OK     1947385
  586       4     11.84        38   154.94      2.89     3.70       OK     1947384
  587       3     12.09        36   157.27      3.73     3.68       OK     1947383
  588       2     11.91        33   154.91      2.89     3.67       OK     1947382
  589       1     11.69        34   157.29      3.06     3.52       OK     1947381
  590      11     11.59        43    35.42      4.15     4.28       OK     1947380
  591      10     12.25        36    41.55      3.46     2.95       OK     1947379
  592       8     14.03        36    44.28      3.56     2.93       OK     1947378
  593       7     13.20        39    45.77      3.54     2.86       OK     1947377
  594       6     12.59        33    43.79      3.27     2.93       OK     1947376
  595       5     11.49        36   155.13      2.90     3.99       OK     1947375
  596       4     11.64        36   155.53      2.66     3.83       OK     1947374
  597       3     12.33        31   157.28      2.90     3.52       OK     1947373
  598       2     11.77        38   155.14      2.86     3.68       OK     1947372
  599       1     11.69        42   157.28      3.20     3.51       OK     1947371
  600      11     11.80        50    35.38      3.59     4.31       OK     1947370
  601      10     12.29        37    41.20      3.85     2.96       OK     1947369
  602       8     12.12        50    43.96      3.54     2.97       OK     1947368
  603       7     12.56        34    45.44      3.40     2.89       OK     1947367
  604       6     12.53        33    43.36      3.67     3.19       OK     1947366
  605       5     11.40        34   154.69      3.14     4.00       OK     1947365
  606       4     11.69        38   154.90      2.91     3.71       OK     1947364
  607       3     11.95        36   157.28      3.05     3.54       OK     1947363
  608       2     11.89        39   154.85      2.88     3.69       OK     1947362
  609       1     12.00        34   157.27      3.21     3.51       OK     1947361
  610      11     11.61        44    35.33      3.88     4.28       OK     1947360
  611      10     12.45        34    41.48      2.96     2.97       OK     1947359
  612       8     12.34        39    44.08      3.33     2.92       OK     1947358
  613       7     12.53        31    45.65      3.26     2.87       OK     1947357
  614       6     12.56        39    43.85      3.32     2.94       OK     1947356
  615       5     11.52        39   154.97      3.08     4.01       OK     1947355
  616       4     11.55        44   155.21      2.89     3.74       OK     1947354
  617       3     11.85        32   157.27      3.35     3.54       OK     1947353
  618       2     11.79        34   154.96      3.18     3.69       OK     1947352
  619       1     13.51        34   157.27      3.06     3.51       OK     1947351
  620      11     22.30      1525     0.40     22.30     0.69     Tq+1     1947350
  621      10     12.37        39    41.36      3.60     2.94       OK     1947349
  622       8     12.96        36    44.08      3.29     2.93       OK     1947348
  623       7     13.01        39    45.62      2.93     2.91       OK     1947347
  624       6     12.67        42    43.70      3.75     2.96       OK     1947346
  625       5     11.81        37   154.78      3.19     3.85       OK     1947345
  626       4     11.72        33   154.94      2.95     3.84       OK     1947344
  627       3     11.93        38   157.26      2.98     3.56       OK     1947343
  628       2     11.82        35   154.97      2.95     3.58       OK     1947342
  629       1     11.71        29   157.28      3.41     3.51       OK     1947341
  630      10     12.34        36    41.51      3.73     2.95       OK     1947340
  631       8     12.35        39    44.12      3.33     3.05       OK     1947339
  632       7     12.65        31    45.58      3.61     2.90       OK     1947338
  633       6      0.34     21054    20.99      0.34     6.02      T+1     1947337
  634       6      0.55     21055    21.17      0.55     6.02      T+1     1947336
  635       5     11.56        40   155.21      2.81     5.57       OK     1947335
  636       4     11.64        38   155.45      2.59     3.75       OK     1947334
  637       3     12.53        36   157.29      3.03     3.57       OK     1947333
  638       2     11.63        33   154.95      2.74     3.64       OK     1947332
  639      11     11.76        43    35.61      3.54     4.25       OK     1947331
  640       1     11.93        40   157.30      3.25     3.52       OK     1947330
  641      10     12.05        34    41.46      3.23     3.03       OK     1947329
  642       8     12.44        33    44.00      3.67     2.94       OK     1947328
  643       7     12.70        39    45.46      3.67     2.90       OK     1947327
  644       6     12.87        42    43.57      3.19     3.14       OK     1947326
  645       5     11.26        37   155.00      2.31     3.98       OK     1947325
  646       4     11.88        38   155.30      3.04     3.75       OK     1947324
  647       3     11.66        37   157.27      2.99     3.48       OK     1947323
  648       2     11.62        38   155.07      2.78     3.59       OK     1947322
  649       1     11.96        40   157.28      2.92     3.55       OK     1947321
  650      10     12.88        32    41.22      3.25     3.02       OK     1947320
  651       8     15.22        35    43.87      3.37     2.96     Tq+2     1947319
  652       7     12.54        36    45.41      3.86     2.90       OK     1947318
  653       6     12.55        47    43.53      3.84     2.98       OK     1947317
  654       5     11.70        32   154.97      3.11     3.99       OK     1947316
  655       4     11.59        38   155.16      2.89     3.75       OK     1947315
  656       3     11.96        40   157.26      3.16     3.67       OK     1947314
  657       2     12.04        38   155.01      2.70     3.60       OK     1947313
  658       1     11.79        33   157.27      3.12     3.50       OK     1947312
  659      11     11.77        42    35.63      3.84     4.27       OK     1947311
  660      10     12.04        32    41.44      2.86     3.03       OK     1947310
  661       8     12.31        41    44.10      3.27     2.95       OK     1947309
  662       7     12.25        36    45.53      3.54     2.88       OK     1947308
  663       6     12.90        34    43.68      3.53     3.01       OK     1947307
  664       5     11.44        37   155.12      2.80     3.93       OK     1947306
  665       4     11.65        42   155.33      2.55     3.80       OK     1947305
  666       4      0.26     21055   133.18      0.26     6.02      T+1     1947304
  667       3     11.65        35   157.28      2.73     3.53       OK     1947303
  668       2     12.11        33   155.03      2.72     3.59       OK     1947302
  669       1     12.02        29   157.28      2.90     3.54       OK     1947301
  670      11     11.57        44    34.80      3.96     4.25       OK     1947300
  671      10     12.40        36    41.52      3.22     2.97       OK     1947299
  672       8     13.22        39    44.04      3.73     3.06       OK     1947298
  673       7     12.45        36    45.59      4.20     2.92       OK     1947297
  674       6     12.58        47    43.72      3.81     3.11       OK     1947296
  675       5     11.50        35   155.18      2.91     4.01       OK     1947295
  676       4     11.63        40   155.51      3.05     3.80       OK     1947294
  677       3     11.93        42   157.28      3.74     3.54       OK     1947293
  678       2     11.81        40   154.94      3.05     3.64       OK     1947292
  679      11     11.90        39    34.60      4.54     4.21       OK     1947291
  680       1     12.31        40   157.29      3.63     3.52       OK     1947290
  681      10     12.71        36    41.26      3.33     3.04       OK     1947289
  682       8     12.86        41    43.87      3.55     2.98       OK     1947288
  683       7     12.72        36    45.37      3.22     2.89       OK     1947287
  684       6     12.68        39    43.54      3.73     2.98       OK     1947286
  685       5     11.38        39   154.91      3.16     3.87       OK     1947285
  686       4     11.86        40   155.11      3.14     3.82       OK     1947284
  687       3     12.07        33   157.25      2.69     3.58       OK     1947283
  688       2     11.62        38   155.10      2.93     3.63       OK     1947282
  689       1     11.81        27   157.30      3.43     3.50       OK     1947281
  690      11     11.41        46    35.28      4.30     4.27       OK     1947280
  691      10     12.48        36    41.54      3.58     2.96       OK     1947279
  692       8     12.52        39    44.09      3.10     2.97       OK     1947278
  693       7     12.73        31    45.53      3.56     2.90       OK     1947277
  694       6     12.74        36    43.69      3.61     2.98       OK     1947276
  695       5     11.57        39   155.04      2.79     3.94       OK     1947275
  696       4     11.63        40   155.31      2.87     3.78       OK     1947274
  697       3     11.72        32   157.28      3.19     3.55       OK     1947273
  698       2     11.63        38   154.92      2.64     3.75       OK     1947272
  699       1     12.02        38   157.26      3.17     3.50       OK     1947271
  700      11     11.69        48    34.81      3.52     4.24       OK     1947270
  701      10     12.22        34    41.37      3.78     3.09       OK     1947269
  702       8     12.73        33    43.93      3.07     2.97       OK     1947268
  703       7     12.59        39    45.56      3.62     2.92       OK     1947267
  704       6     12.87        36    43.72      3.29     2.88       OK     1947266
  705       5     11.74        34   155.06      3.14     4.00       OK     1947265
  706       4     11.70        32   155.35      2.70     3.82       OK     1947264
  707       3     11.82        38   157.29      3.32     3.53       OK     1947263
  708       2     11.61        36   154.99      2.87     3.61       OK     1947262
  709       1     12.14        32   157.26      3.74     3.53       OK     1947261
  710      11     11.48        53    35.27      4.30     4.30       OK     1947260
  711      10     12.43        39    41.33      3.36     2.99       OK     1947259
  712       8     12.50        36    44.00      3.65     2.97       OK     1947258
  713       7     12.48        33    45.42      3.70     2.88       OK     1947257
  714       6     12.45        36    43.67      3.63     2.96       OK     1947256
  715       5     11.76        42   155.10      3.58     4.00       OK     1947255
  716       4     11.71        33   155.25      2.72     3.75       OK     1947254
  717       3     11.71        38   157.26      3.37     3.60       OK     1947253
  718       2     11.76        35   154.95      3.05     3.73       OK     1947252
  719      11     11.79        48    35.46      3.87     4.27       OK     1947251
  720       1     11.85        31   157.29      3.67     3.52       OK     1947250
  721      10     12.51        36    41.35      3.46     2.96       OK     1947249
  722       8     12.67        36    44.07      2.94     2.95       OK     1947248
  723       7     12.54        33    45.40      4.04     2.88       OK     1947247
  724       6     12.66        36    43.59      3.03     2.95       OK     1947246
  725       5     11.24        39   155.04      2.97     3.99       OK     1947245
  726       4     11.99        40   155.32      2.78     4.48       OK     1947244
  727       3     11.88        36   157.26      3.03     3.54       OK     1947243
  728       2     11.70        40   154.98      2.65     3.68       OK     1947242
  729      11     12.07        39    35.22      3.73     4.28       OK     1947241
  730       1     11.86        40   157.29      3.35     3.53       OK     1947240
  731      10     12.16        34    41.46      3.10     2.97       OK     1947239
  732       8     12.64        39    43.92      3.29     2.94       OK     1947238
  733       7     12.67        41    45.37      3.03     2.92       OK     1947237
  734       6     12.84        39    43.57      3.86     2.94       OK     1947236
  735       5     11.24        35   154.94      3.47     3.97       OK     1947235
  736       4     11.43        40   155.21      2.97     3.83       OK     1947234
  737       3     11.89        36   157.26      3.14     3.69       OK     1947233
  738      11     11.47        46    34.20      4.14     4.21       OK     1947232
  739       2     11.85        38   154.94      2.96     3.61       OK     1947231
  740       1     12.03        38   157.29      3.59     3.54       OK     1947230
  741      10     12.47        39    41.13      3.62     3.00       OK     1947229
  742       8     12.82        39    43.89      3.85     3.03       OK     1947228
  743       7     12.71        39    45.35      4.18     2.95       OK     1947227
  744       6     12.76        36    43.53      3.59     2.96       OK     1947226
  745       5     11.78        37   154.90      3.29     3.88       OK     1947225
  746       4     11.94        35   155.17      2.90     3.73       OK     1947224
  747       3     11.90        42   157.29      3.36     3.58       OK     1947223
  748      11     11.78        48    35.34      3.66     4.30       OK     1947222
  749       2     11.50        40   155.02      2.83     3.65       OK     1947221
  750       1     11.94        42   157.29      3.71     3.51       OK     1947220
  751      10     12.37        34    41.38      3.57     2.97       OK     1947219
  752       8     12.31        39    44.07      3.43     2.94       OK     1947218
  753       7     12.59        28    45.33      3.49     2.96       OK     1947217
  754       6     12.58        44    43.54      4.14     2.95       OK     1947216
  755       5     11.76        33   154.77      3.11     3.97       OK     1947215
  756       4     11.81        37   155.02      2.88     3.72       OK     1947214
  757       3     11.99        40   157.28      3.10     3.55       OK     1947213
  758       2     12.91        36   154.86      2.58     3.68       OK     1947212
  759       1     11.91        42   157.28      3.53     3.56       OK     1947211
  760      11     11.49        41    35.21      3.73     4.30       OK     1947210
  761      10     12.49        39    41.39      4.13     2.97       OK     1947209
  762       8     12.29        36    44.13      3.01     2.97       OK     1947208
  763       7     12.59        36    45.63      4.04     2.90       OK     1947207
  764       6     12.36        42    43.70      3.41     3.01       OK     1947206
  765       5     11.52        39   155.17      2.85     4.11       OK     1947205
  766       4     11.86        38   155.40      2.76     3.85       OK     1947204
  767       3     12.02        39   157.28      3.14     3.56       OK     1947203
  768       2     11.95        35   154.94      3.06     3.70       OK     1947202
  769      11     11.61        41    35.21      3.85     4.28       OK     1947201
  770       1     11.68        31   157.25      2.87     3.54       OK     1947200
  771      10     12.44        32    41.36      3.55     2.87       OK     1947199
  772       8     13.19        41    43.90      3.75     2.95       OK     1947198
  773       7     12.31        31    45.44      3.63     2.89       OK     1947197
  774       6     12.70        42    43.68      3.91     3.53       OK     1947196
  775       5     11.33        37   154.92      2.96     3.99       OK     1947195
  776       4     11.73        40   155.06      3.00     3.84       OK     1947194
  777       3     11.51        35   157.26      3.11     3.55       OK     1947193
  778       2     11.80        35   154.85      2.92     3.71       OK     1947192
  779       1     12.02        38   157.28      3.41     3.52       OK     1947191
  780      11     11.65        44    35.26      3.82     4.28       OK     1947190
  781      10     12.68        36    41.37      3.82     2.95       OK     1947189
  782       8     12.55        36    44.00      3.39     2.93       OK     1947188
  783       7     12.81        36    45.50      3.63     2.89       OK     1947187
  784       6     12.81        50    43.70      3.39     2.97       OK     1947186
  785       5     11.38        41   154.90      3.29     4.03       OK     1947185
  786       4     11.71        36   155.14      2.70     3.77       OK     1947184
  787       3     11.86        38   157.28      3.05     3.68       OK     1947183
  788       2     11.90        38   154.94      2.97     3.60       OK     1947182
  789       1     11.98        36   157.27      3.29     3.52       OK     1947181
  790      11     11.65        50    35.21      4.16     4.30       OK     1947180
  791      10     12.20        34    41.34      3.82     2.90       OK     1947179
  792       8     12.30        39    43.92      3.20     2.94       OK     1947178
  793       7     12.54        28    45.41      3.56     2.91       OK     1947177
  794       6     12.54        42    43.54      3.81     3.01       OK     1947176
  795       5     11.25        44   154.82      3.31     4.01       OK     1947175
  796       4     11.63        46   155.06      2.99     4.69       OK     1947174
  797       3     11.87        38   157.29      3.33     3.57       OK     1947173
  798       2     11.78        33   154.94      2.71     3.60       OK     1947172
  799       1     11.95        36   157.28      3.63     3.55       OK     1947171
  800      11     11.85        44    35.28      4.07     4.29       OK     1947170
  801      10     12.43        39    41.54      3.67     2.95       OK     1947169
  802       8     12.50        39    43.99      3.38     2.97       OK     1947168
  803       7     12.75        34    45.52      3.52     2.90       OK     1947167
  804       6     12.60        50    43.66      3.33     2.88       OK     1947166
  805       5     11.26        34   155.24      3.43     4.52       OK     1947165
  806       4     11.47        38   155.45      2.96     3.81       OK     1947164
  807       3     11.86        38   157.28      3.30     3.53       OK     1947163
  808       2     11.94        32   154.94      2.97     3.75       OK     1947162
  809       1     11.98        32   157.28      3.24     3.50       OK     1947161
  810      11     11.74        50    35.27      4.33     4.29       OK     1947160
  811      10     12.24        41    41.30      3.92     2.97       OK     1947159
  812       8     12.43        39    43.97      3.57     2.95       OK     1947158
  813       7     12.88        33    45.33      3.43     2.89       OK     1947157
  814       6     12.63        39    43.42      3.73     2.96       OK     1947156
  815       5     11.35        35   154.80      3.49     3.97       OK     1947155
  816       4     11.94        33   155.02      3.14     3.77       OK     1947154
  817       3     11.96        42   157.27      3.00     3.62       OK     1947153
  818       2     12.04        37   154.93      2.57     3.61       OK     1947152
  819       1     11.69        44   157.27      3.77     3.53       OK     1947151
  820      11     11.40        46    35.74      3.80     4.33       OK     1947150
  821      10     12.01        37    41.50      3.36     2.97       OK     1947149
  822       8     12.46        34    44.17      3.39     2.95       OK     1947148
  823       7     13.52        33    45.54      3.82     3.01       OK     1947147
  824       6     12.68        39    43.81      3.78     3.01       OK     1947146
  825       5     11.51        37   155.08      2.99     4.03       OK     1947145
  826       4     11.88        38   155.30      2.59     3.80       OK     1947144
  827       3     11.78        37   157.27      2.95     3.53       OK     1947143
  828       2     11.84        38   154.97      2.40     3.63       OK     1947142
  829       1     12.05        42   157.31      2.87     3.57       OK     1947141
  830      11     11.67        46    35.53      3.76     4.36       OK     1947140
  831      10     12.16        37    41.64      3.24     2.98       OK     1947139
  832       8     12.22        36    44.30      3.38     2.97       OK     1947138
  833       7     12.81        47    45.69      4.06     2.93       OK     1947137
  834       6     12.94        33    43.82      3.65     3.36       OK     1947136
  835       5     11.46        37   155.06      3.04     3.95       OK     1947135
  836       4     11.63        44   155.41      2.74     3.79       OK     1947134
  837       3     11.90        34   157.27      3.40     3.67       OK     1947133
  838       2     11.68        40   155.18      2.73     3.69       OK     1947132
  839       1     11.81        38   157.29      3.14     3.65       OK     1947131
  840      11     11.80        40    35.93      3.19     4.42       OK     1947130
  841      10     12.23        32    41.55      3.09     2.99       OK     1947129
  842       8     12.48        31    44.13      2.98     2.98       OK     1947128
  843       7     12.46        36    45.42      3.53     2.96       OK     1947127
  844       6     12.17        44    43.77      3.30     3.64       OK     1947126
  845       5     11.36        37   155.09      3.26     3.99       OK     1947125
  846       4     11.91        35   155.44      2.38     3.82       OK     1947124
  847       3     11.70        40   157.27      2.95     3.61       OK     1947123
  848       2     11.30        53   155.04      2.38     3.65       OK     1947122
  849       1     13.34        40   157.28      3.27     3.53       OK     1947121
  850      11     11.93        53    35.68      3.90     4.33       OK     1947120
  851      10     12.30        39    41.36      3.28     3.02       OK     1947119
  852       8     12.37        36    44.01      3.06     3.03       OK     1947118
  853       7     12.75        33    45.34      3.35     2.88       OK     1947117
  854       6     12.54        41    43.56      3.41     2.97       OK     1947116
  855       5     11.54        36   154.97      2.86     3.94       OK     1947115
  856       4     11.86        35   155.19      3.00     3.65       OK     1947114
  857       3     11.89        36   157.29      3.22     3.52       OK     1947113
  858       2     12.58        35   154.97      2.60     3.59       OK     1947112
  859       1     12.00        32   157.27      2.58     3.55       OK     1947111
  860      11     11.67        43    35.33      3.59     4.31       OK     1947110
  861      10     13.01        32    41.46      3.32     2.97       OK     1947109
  862       8     12.56        39    44.07      3.86     2.97       OK     1947108
  863       7     12.54        36    45.47      3.12     2.90       OK     1947107
  864       6     12.32        46    43.81      3.77     2.96       OK     1947106
  865       5     11.53        37   155.11      3.02     4.02       OK     1947105
  866       4     11.70        42   155.40      2.84     3.85       OK     1947104
  867       3     11.72        33   157.29      3.01     3.56       OK     1947103
  868       2     11.85        35   154.95      3.13     3.64       OK     1947102
  869       1     12.22        37   157.26      3.52     3.48       OK     1947101
  870       1      0.03     10526   157.21      0.03     6.08      T+2     1947100
  871      11     11.42        37    35.50      3.38     4.32       OK     1947099
  872      11     11.63        37    35.35      4.01     4.27       OK     1947098
  873      10     12.02        39    41.62      3.05     2.96       OK     1947097
  874       8     12.45        33    44.44      3.30     3.04       OK     1947096
  875       7     12.54        39    45.63      3.50     2.89       OK     1947095
  876       6     12.35        36    43.61      3.57     2.97       OK     1947094
  877       5     11.68        41   154.93      2.93     3.87       OK     1947093
  878       4     11.51        56   155.29      2.37     3.73       OK     1947092
  879       3     11.92        42   157.28      3.11     3.58       OK     1947091
  880       2     13.88        29   155.16      2.72     3.66       OK     1947090
  881       1     11.53        65   157.28      2.92     3.53       OK     1947089
  882      10     12.24        36    41.69      3.16     3.00       OK     1947088
  883       8     12.59        39    44.60      3.36     3.02       OK     1947087
  884       7     12.82        31    45.76      3.65     2.90       OK     1947086
  885       6     12.86        41    43.99      3.76     2.97       OK     1947085
  886       5     11.34        32   154.81      3.14     3.96       OK     1947084
  887       4     11.55        46   155.06      2.80     3.78       OK     1947083
  888       3     11.51        38   157.29      3.03     3.62       OK     1947082
  889       2     11.75        46   154.82      3.05     3.74       OK     1947081
  890       1     11.90        38   157.28      3.37     3.50       OK     1947080
  891      11     11.90        39    35.45      3.92     4.27       OK     1947079
  892      10     12.61        36    41.67      3.23     3.00       OK     1947078
  893       8     12.38        33    44.70      3.22     3.08       OK     1947077
  894       7     13.51        36    45.78      3.49     2.90       OK     1947076
  895       6     12.69        44    43.91      3.89     2.94       OK     1947075
  896       5     11.54        28   154.85      3.18     3.93       OK     1947074
  897       4     11.59        44   155.04      2.79     3.70       OK     1947073
  898       3     11.98        37   157.27      2.89     3.68       OK     1947072
  899       2     11.42        36   154.78      3.21     3.68       OK     1947071
  900       1     11.83        44   157.28      3.52     3.52       OK     1947070
  901      11     11.96        41    34.86      4.15     4.23       OK     1947069
  902      10     12.31        44    41.73      3.34     3.00       OK     1947068
  903       8     12.34        39    44.51      2.89     3.10       OK     1947067
  904       7     13.24        33    45.69      3.76     2.90       OK     1947066
  905       6     12.56        44    43.75      3.09     2.97       OK     1947065
  906       5     11.69        37   155.06      2.89     3.98       OK     1947064
  907       4     11.73        52   155.37      2.46     3.85       OK     1947063
  908       3     11.83        36   157.28      3.51     3.58       OK     1947062
  909       2     11.63        35   155.05      3.07     3.77       OK     1947061
  910      11     11.57        41    35.31      3.96     4.26       OK     1947060
  911       1     11.72        44   157.28      2.88     3.53       OK     1947059
  912      10     12.31        34    41.74      3.20     2.98       OK     1947058
  913       8     12.80        42    44.43      3.20     3.04       OK     1947057
  914       7     12.60        33    45.70      2.96     2.89       OK     1947056
  915       6     12.42        39    43.62      3.71     2.93       OK     1947055
  916       5     11.56        41   155.00      3.06     4.05       OK     1947054
  917       4     11.79        38   155.28      2.58     3.73       OK     1947053
  918       3     11.84        36   157.28      2.91     3.62       OK     1947052
  919       2     13.40        34   155.14      2.81     4.15       OK     1947051
  920      11     11.50        37    35.34      4.14     4.28       OK     1947050
  921       1     11.49        59   157.29      3.02     3.52       OK     1947049
  922      10     12.69        36    41.63      3.20     2.96       OK     1947048
  923       8     12.83        36    44.41      3.00     2.94       OK     1947047
  924       7     12.73        33    45.81      3.59     2.89       OK     1947046
